0:0:0:0:0:0:0:1 - - [29/Apr/2023:22:55:49 +0530] "GET /E-Society/admin/assets/js/SidebarNav.min.js HTTP/1.1" 200 1493
0:0:0:0:0:0:0:1 - - [29/Apr/2023:22:55:49 +0530] "GET /E-Society/admin/assets/js/custom.js HTTP/1.1" 200 1181
0:0:0:0:0:0:0:1 - - [29/Apr/2023:22:55:49 +0530] "GET /E-Society/admin/assets/css/style.css HTTP/1.1" 200 172652
0:0:0:0:0:0:0:1 - - [29/Apr/2023:22:55:49 +0530] "GET /E-Society/js/owl.carousel.js HTTP/1.1" 404 787
0:0:0:0:0:0:0:1 - - [29/Apr/2023:22:55:49 +0530] "GET /E-Society/admin/assets/js/modernizr.custom.js HTTP/1.1" 200 7671
0:0:0:0:0:0:0:1 - - [29/Apr/2023:22:55:49 +0530] "GET /E-Society/admin/assets/js/jquery.nicescroll.js HTTP/1.1" 200 59364
0:0:0:0:0:0:0:1 - - [29/Apr/2023:22:55:49 +0530] "GET /E-Society/admin/assets/js/bootstrap.js HTTP/1.1" 200 69707
0:0:0:0:0:0:0:1 - - [29/Apr/2023:22:55:49 +0530] "GET /E-Society/admin/assets/js/scripts.js HTTP/1.1" 200 663
0:0:0:0:0:0:0:1 - - [29/Apr/2023:22:55:49 +0530] "GET /E-Society/admin/assets/images/lock.png HTTP/1.1" 200 3121
0:0:0:0:0:0:0:1 - - [29/Apr/2023:22:55:49 +0530] "GET /E-Society/admin/assets/images/user.png HTTP/1.1" 200 3060
0:0:0:0:0:0:0:1 - - [29/Apr/2023:22:55:58 +0530] "POST /E-Society/AdminController HTTP/1.1" 200 39969
0:0:0:0:0:0:0:1 - - [29/Apr/2023:22:55:58 +0530] "GET /E-Society/admin/assets/css/owl.carousel.css HTTP/1.1" 200 7829
0:0:0:0:0:0:0:1 - - [29/Apr/2023:22:55:58 +0530] "GET /E-Society/admin/assets/js/owl.carousel.js HTTP/1.1" 200 37908
0:0:0:0:0:0:0:1 - - [29/Apr/2023:22:55:58 +0530] "GET /E-Society/js/amcharts.js HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [29/Apr/2023:22:55:58 +0530] "GET /E-Society/js/serial.js HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [29/Apr/2023:22:55:58 +0530] "GET /E-Society/js/export.min.js HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [29/Apr/2023:22:55:58 +0530] "GET /E-Society/css/export.css HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [29/Apr/2023:22:55:58 +0530] "GET /E-Society/js/light.js HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [29/Apr/2023:22:55:58 +0530] "GET /E-Society/js/index1.js HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [29/Apr/2023:22:55:58 +0530] "GET /E-Society/admin/assets/js/Chart.bundle.js HTTP/1.1" 200 527129
